Formula,Runs,Avg_Mass,Avg_RT,Avg_Score,Occurrence_Count,Run_Names,Num_Runs
C67H103NO8,"['bigmed', 'large', 'med', 'tiny']",1049.76525,19.62025,59.4225,4,"bigmed, large, med, tiny",4
C67H103NO7,"['bigmed', 'large', 'med', 'tiny']",1033.76785,20.367,55.8875,4,"bigmed, large, med, tiny",4
C66H123NO10,"['bigmed', 'large', 'large', 'med']",1089.910675,20.28125,64.7875,4,"bigmed, large, large, med",4
C66H111O8P,"['bigmed', 'large', 'med', 'tiny']",1062.8032,17.9635,66.885,4,"bigmed, large, med, tiny",4
C66H108O12,"['bigmed', 'large', 'med', 'tiny']",1092.785825,18.164749999999998,68.13,4,"bigmed, large, med, tiny",4
C66H108O11,"['bigmed', 'large', 'med', 'tiny']",1076.7928,17.31375,70.00999999999999,4,"bigmed, large, med, tiny",4
C66H108O10,"['bigmed', 'large', 'med', 'tiny']",1060.798475,16.38525,77.295,4,"bigmed, large, med, tiny",4
C65H111O10P,"['bigmed', 'large', 'med', 'tiny']",1082.78285,17.9635,57.4975,4,"bigmed, large, med, tiny",4
C49H83NO7,"['bigmed', 'large', 'med', 'tiny']",797.61505,19.63925,65.725,4,"bigmed, large, med, tiny",4
C49H78O9,"['bigmed', 'large', 'med', 'tiny']",810.56535,19.4375,54.425,4,"bigmed, large, med, tiny",4
C49H75O10P,"['bigmed', 'large', 'med', 'tiny']",854.50865,7.19925,71.7225,4,"bigmed, large, med, tiny",4
C39H74NO7P,"['bigmed', 'large', 'med', 'tiny']",699.521,17.203,67.02,4,"bigmed, large, med, tiny",4
C39H71N2O6P,"['bigmed', 'large', 'large', 'tiny']",694.506625,17.42425,60.9625,4,"bigmed, large, large, tiny",4
C39H68NO6P,"['bigmed', 'large', 'med', 'tiny']",677.4787,17.97,61.975,4,"bigmed, large, med, tiny",4
C39H66O5,"['bigmed', 'large', 'med', 'tiny']",614.49005,17.9765,80.35,4,"bigmed, large, med, tiny",4
C39H65NO6,"['bigmed', 'large', 'med', 'tiny']",643.484425,10.285,72.035,4,"bigmed, large, med, tiny",4
C39H65NO5,"['bigmed', 'large', 'med', 'tiny']",627.489325,11.9485,65.7875,4,"bigmed, large, med, tiny",4
C39H65NO10,"['bigmed', 'large', 'med', 'tiny']",707.4634249999999,13.60575,68.68,4,"bigmed, large, med, tiny",4
C39H64NO6P,"['bigmed', 'large', 'med', 'tiny']",673.447075,4.45125,88.52,4,"bigmed, large, med, tiny",4
C39H62O6,"['bigmed', 'large', 'med', 'tiny']",626.457375,10.3435,73.545,4,"bigmed, large, med, tiny",4
C39H62O5,"['bigmed', 'large', 'med', 'tiny']",610.46295,11.929,68.7825,4,"bigmed, large, med, tiny",4
C39H57O15P,"['large', 'large', 'med', 'tiny']",796.34445,13.45,57.56,4,"large, large, med, tiny",4
C39H54O4,"['bigmed', 'large', 'med', 'tiny']",586.399125,7.933,65.745,4,"bigmed, large, med, tiny",4
C38H75O10P,"['bigmed', 'large', 'med', 'tiny']",722.5112,18.7895,63.010000000000005,4,"bigmed, large, med, tiny",4
C38H75N2O7P,"['bigmed', 'large', 'med', 'tiny']",702.531375,12.461500000000001,72.31,4,"bigmed, large, med, tiny",4
C38H73NO8,"['large', 'large', 'large', 'med']",671.531825,18.70175,58.269999999999996,4,"large, large, large, med",4
